City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Arica,CL,-18.475,-70.3042,74.75,56,0,14.97,clear sky
309,Santa Cruz,BO,-17.8,-63.1667,86.05,42,20,14.97,few clouds
310,Kungurtug,RU,50.5994,97.5228,25.63,79,83,6.35,broken clouds
311,Manokwari,ID,-0.8667,134.0833,80.19,79,100,5.14,overcast clouds
312,Port Lincoln,AU,-34.7333,135.8667,57.9,76,97,8.95,overcast clouds
313,Contamana,PE,-7.3333,-75.0167,90.64,46,96,1.54,overcast clouds
314,Darhan,MN,49.4867,105.9228,38.61,90,100,19.95,moderate rain
315,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,64,75,9.22,broken clouds
316,Ilhabela,BR,-23.7781,-45.3581,70.83,83,66,5.37,broken clouds
317,Brewster,US,41.3973,-73.6171,61.29,40,0,13.8,clear sky
318,Avera,US,33.194,-82.5271,71.11,52,100,6.55,overcast clouds
319,Yar-Sale,RU,66.8333,70.8333,35.47,100,100,10.51,overcast clouds
320,Uberaba,BR,-19.7483,-47.9319,77.58,69,40,4.61,scattered clouds
321,Dudinka,RU,69.4058,86.1778,9.63,93,69,10.45,broken clouds
322,La Peca,PE,-5.6111,-78.435,80.69,61,65,3.98,light rain
323,Altay,CN,47.8667,88.1167,46.0,43,100,5.1,overcast clouds
324,Araouane,ML,18.9048,-3.5265,87.44,6,0,12.19,clear sky
325,Pampa,US,35.5362,-100.9599,90.57,20,0,0.0,clear sky
326,Bengkulu,ID,-3.8004,102.2655,77.14,82,96,4.07,overcast clouds
327,Williamsport,US,41.2412,-77.0011,69.1,26,0,10.36,clear sky
328,Manoel Urbano,BR,-8.8389,-69.2597,88.02,53,70,0.18,broken clouds
329,Alugan,PH,12.2188,125.4808,79.79,80,28,6.73,scattered clouds
330,Saint-Leu,RE,-21.15,55.2833,72.46,76,1,2.71,clear sky
331,Pemberton,CA,50.3164,-122.8027,55.09,75,98,3.31,overcast clouds
332,Viedma,AR,-40.8135,-62.9967,67.35,38,97,18.05,overcast clouds
333,Sioux Lookout,CA,50.1001,-91.917,44.67,93,100,11.5,light rain
334,Port Jervis,US,41.3751,-74.6927,62.24,39,66,12.57,broken clouds
